#fabulous	sentimentScore=7.526	numPositive=2301	numNegative=2
#excellent	sentimentScore=7.247	numPositive=2612	numNegative=3
#superb	sentimentScore=7.199	numPositive=1660	numNegative=2
#perfection	sentimentScore=7.099	numPositive=3004	numNegative=4
#terrific	sentimentScore=6.922	numPositive=629	numNegative=1
#magnificent	sentimentScore=6.672	numPositive=490	numNegative=1
#sensational	sentimentScore=6.529	numPositive=849	numNegative=2
#heavenly	sentimentScore=6.484	numPositive=2841	numNegative=7
#ideal	sentimentScore=6.461	numPositive=3172	numNegative=8
#partytime	sentimentScore=6.111	numPositive=559	numNegative=2
#excellence	sentimentScore=5.875	numPositive=1325	numNegative=6
@thisisangel	sentimentScore=5.858	numPositive=217	numNegative=1
#wonderful	sentimentScore=5.727	numPositive=3428	numNegative=18
elegant	sentimentScore=5.665	numPositive=537	numNegative=3
#perfect	sentimentScore=5.572	numPositive=3749	numNegative=23
#fine	sentimentScore=5.423	numPositive=2389	numNegative=17
excellence	sentimentScore=5.416	numPositive=279	numNegative=2
#realestate	sentimentScore=5.214	numPositive=114	numNegative=1
bicycles	sentimentScore=5.205	numPositive=113	numNegative=1
#inspiration	sentimentScore=5.187	numPositive=111	numNegative=1
#beauty	sentimentScore=5.148	numPositive=1601	numNegative=15
#beautiful	sentimentScore=5.116	numPositive=1757	numNegative=17
#amazing	sentimentScore=5.096	numPositive=4761	numNegative=47
#nice	sentimentScore=5.035	numPositive=1620	numNegative=17
zayns	sentimentScore=5	numPositive=6	numNegative=0
loso	sentimentScore=5	numPositive=5	numNegative=0
acai	sentimentScore=5	numPositive=6	numNegative=0
#motivate	sentimentScore=5	numPositive=18	numNegative=0
treebeard	sentimentScore=5	numPositive=5	numNegative=0
@prof_elemental	sentimentScore=5	numPositive=5	numNegative=0
#delightful	sentimentScore=5	numPositive=22	numNegative=0
#waffles	sentimentScore=5	numPositive=5	numNegative=0
southpark	sentimentScore=5	numPositive=5	numNegative=0
#respectful	sentimentScore=5	numPositive=8	numNegative=0
#ecstatic	sentimentScore=5	numPositive=7	numNegative=0
ensuring	sentimentScore=5	numPositive=5	numNegative=0
#suave	sentimentScore=5	numPositive=11	numNegative=0
spanner	sentimentScore=5	numPositive=5	numNegative=0
attain	sentimentScore=5	numPositive=7	numNegative=0
#optimism	sentimentScore=5	numPositive=16	numNegative=0
#toplad	sentimentScore=5	numPositive=6	numNegative=0
#cinderella	sentimentScore=5	numPositive=5	numNegative=0
serenaded	sentimentScore=5	numPositive=7	numNegative=0
#elliegoulding	sentimentScore=5	numPositive=5	numNegative=0
@theenemyband	sentimentScore=5	numPositive=5	numNegative=0
divo	sentimentScore=5	numPositive=5	numNegative=0
#bbc4	sentimentScore=5	numPositive=5	numNegative=0
@niamh_dempseyx	sentimentScore=5	numPositive=5	numNegative=0
#lovethissong	sentimentScore=5	numPositive=16	numNegative=0
guac	sentimentScore=5	numPositive=9	numNegative=0
prosthetic	sentimentScore=5	numPositive=7	numNegative=0
#flawless	sentimentScore=5	numPositive=51	numNegative=0
@skodaindia	sentimentScore=5	numPositive=272	numNegative=0
#perfecttiming	sentimentScore=5	numPositive=6	numNegative=0
